id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Sản phẩm nhận được đúng mẫu giới thiệu, đúng size thể tích đã đặt, hình thức rất đẹp, inox sáng bóng, các ngăn và vỉ hấp thiết kế rất vừa vặn, tạo khoảng cách đủ để hấp cùng lúc nhiều món, giá rẻ,  giao hàng nhanh, hài lòng sản phẩm nên tặng shop 5*. Các bà nội trợ nên mua.",0,29209979,5,1687612436,Văn Luyến,1687445757
,Cực kì hài lòng,"Sản phẩm i hình , đầy đủ , chất lượng , mình đã sử dụng qua 2 lần và thấy rất tốt. Nhà mình dùng bếp từ vẫn oki nhé. giao hàng nhanh , đóng gói chắc chắn 👍👍👍👍",0,12682480,5,1687944457,thu thu,1687445275
,Cực kì hài lòng,"Hàng đúng y hình mẫu, giá cả phù hợp với người tiêu dùng, có thể dung 1 tâng 2 tầng tùy ý linh dộng dc, dùng bếp từ dc nha, hấp dc nhiu đồ 1 lúc, nấu xôi cũng ngon lắm nha",0,27945151,5,1688305875,Nguyễn Văn Cảnh,1688049229
,Cực kì hài lòng,"Nồi phù hợp và tiện lợi. Giá như thế là ổn lắm rồi
Hấp siêu nhanh
Mình rất ưng ý 
Sẽ ủng hộ shop lâu dài",0,7812210,5,1688194181,Ms Hiền,1688048039
,Cực kì hài lòng,"Giá thành rẻ, chất lượng sản phẩm tốt, sẽ ủng hộ shop nếu lần sau có nhu cầu hoặc sản phẩm phù hợp",0,29227713,5,1688220784,Tùng Đình,1688045675
,Cực kì hài lòng,"Chất liệu bền, đáng tiền, sẽ mua lại lần 2",0,22907427,5,1688282916,Chu Anh,1688052859
,Cực kì hài lòng,Đẹp quá xịn dùng rất tốt rất êm quá rẻ nữa Tiki thật tuyệt vời Tiếp tục thêm những sản phẩm như vậy nữa nhé,0,1559948,5,1688808626,Khoa Hiếu,1688732607
,Rất không hài lòng,"Mất uy tín, sản phẩm kém chất lượng. Thêm nữa là tiki để nhà cung cấp sử dụng chiêu trò PR bẩn. Tạo voucher các kiểu để thu hút khách hàng coi gian hàng, đặt hàng, sau đó hủy đơn hàng của khách. Gây mất thời gian, khó chịu. Tiki support nhân viên không hỗ trợ. Điển hình là nhà bán Sakos và Glico... làm ăn k ra gì",0,13683745,1,1691160021,Hằng Tống,1688498743
,Cực kì hài lòng,Khăn rất mềm và thấm hút nước. Màu sắc bên ngoài đẹp hơn hình luôn.,0,6558,5,1688701451,Trần Hồng Ân,1688626224
,Cực kì hài lòng,"Vải cũng ổn, mua được giá sale, đóng gói tốt.giao hàng nhanh",0,1228707,5,1687171644,Hoàng Hà,1687103686
